x, f(x), mean, lower, upper, acq
0.284000,0.988609,1.153999,0.111519,2.196478,0.278869
0.285000,0.987436,1.166590,0.098933,2.234247,0.291299
0.286000,0.985543,1.178846,0.086065,2.271628,0.303577
0.287000,0.982949,1.190770,0.072928,2.308613,0.315690
0.288000,0.979674,1.202365,0.059534,2.345196,0.327631
0.289000,0.975741,1.213634,0.045895,2.381372,0.339392
0.290000,0.971172,1.224579,0.032023,2.417135,0.350966
0.291000,0.965991,1.235204,0.017928,2.452480,0.362347
0.292000,0.960220,1.245512,0.003622,2.487402,0.373531
0.293000,0.953885,1.255507,-0.010883,2.521897,0.384513
0.294000,0.947010,1.265192,-0.025577,2.555961,0.395292
0.295000,0.939619,1.274571,-0.040449,2.589591,0.405863
0.296000,0.931739,1.283647,-0.055489,2.622782,0.416225
0.297000,0.923394,1.292424,-0.070686,2.655534,0.426376
0.298000,0.914609,1.300905,-0.086031,2.687841,0.436316
0.299000,0.905411,1.309096,-0.101512,2.719703,0.446044
0.300000,0.895824,1.316999,-0.117120,2.751118,0.455559
0.301000,0.885873,1.324618,-0.132846,2.782083,0.464862
0.302000,0.875584,1.331959,-0.148680,2.812597,0.473953
0.303000,0.864979,1.339023,-0.164613,2.842660,0.482832
0.304000,0.854084,1.345817,-0.180636,2.872269,0.491501
0.305000,0.842922,1.352343,-0.196740,2.901425,0.499960
0.306000,0.831514,1.358606,-0.212916,2.930127,0.508211
0.307000,0.819884,1.364610,-0.229156,2.958375,0.516255
0.308000,0.808053,1.370359,-0.245451,2.986169,0.524094
0.309000,0.796040,1.375858,-0.261793,3.013508,0.531730
0.310000,0.783867,1.381110,-0.278174,3.040394,0.539164
0.311000,0.771552,1.386120,-0.294587,3.066827,0.546398
0.312000,0.759112,1.390892,-0.311024,3.092807,0.553435
0.313000,0.746565,1.395430,-0.327477,3.118336,0.560277
0.314000,0.733926,1.399738,-0.343938,3.143415,0.566925
0.315000,0.721210,1.403822,-0.360402,3.168045,0.573383
0.316000,0.708431,1.407683,-0.376861,3.192228,0.579652
0.317000,0.695601,1.411328,-0.393307,3.215964,0.585735
0.318000,0.682732,1.414760,-0.409736,3.239256,0.591635
0.319000,0.669834,1.417984,-0.426139,3.262106,0.597353
0.320000,0.656916,1.421002,-0.442510,3.284515,0.602893
0.321000,0.643987,1.423821,-0.458845,3.306486,0.608256
0.322000,0.631052,1.426443,-0.475135,3.328021,0.613447
0.323000,0.618119,1.428872,-0.491376,3.349121,0.618466
0.324000,0.605190,1.431114,-0.507562,3.369790,0.623317
0.325000,0.592270,1.433171,-0.523688,3.390030,0.628002
0.326000,0.579361,1.435048,-0.539747,3.409843,0.632524
0.327000,0.566464,1.436749,-0.555735,3.429232,0.636886
0.328000,0.553579,1.438277,-0.571646,3.448200,0.641090
0.329000,0.540705,1.439637,-0.587475,3.466750,0.645138
0.330000,0.527841,1.440833,-0.603218,3.484884,0.649034
0.331000,0.514984,1.441868,-0.618870,3.502605,0.652780
0.332000,0.502130,1.442746,-0.634425,3.519916,0.656378
0.333000,0.489274,1.443470,-0.649880,3.536821,0.659832
0.334000,0.476412,1.444046,-0.665230,3.553322,0.663142
0.335000,0.463536,1.444475,-0.680471,3.569422,0.666313
0.336000,0.450642,1.444763,-0.695599,3.585125,0.669347
0.337000,0.437720,1.444912,-0.710609,3.600433,0.672245
0.338000,0.424763,1.444926,-0.725497,3.615350,0.675011
0.339000,0.411763,1.444809,-0.740261,3.629879,0.677647
0.340000,0.398711,1.444564,-0.754895,3.644024,0.680155
0.341000,0.385598,1.444195,-0.769397,3.657786,0.682538
0.342000,0.372414,1.443704,-0.783762,3.671171,0.684798
0.343000,0.359150,1.443096,-0.797988,3.684180,0.686937
0.344000,0.345795,1.442373,-0.812071,3.696818,0.688958
0.345000,0.332341,1.441540,-0.826008,3.709087,0.690863
0.346000,0.318776,1.440598,-0.839795,3.720992,0.692654
0.347000,0.305092,1.439552,-0.853430,3.732534,0.694333
0.348000,0.291278,1.438404,-0.866909,3.743717,0.695903
0.349000,0.277325,1.437158,-0.880229,3.754545,0.697366
0.350000,0.263224,1.435816,-0.893389,3.765021,0.698723
0.351000,0.248966,1.434382,-0.906384,3.775148,0.699977
0.352000,0.234543,1.432859,-0.919212,3.784929,0.701130
0.353000,0.219946,1.431248,-0.931871,3.794367,0.702183
0.354000,0.205168,1.429555,-0.944357,3.803466,0.703140
0.355000,0.190202,1.427780,-0.956670,3.812229,0.704001
0.356000,0.175042,1.425927,-0.968805,3.820659,0.704768
0.357000,0.159683,1.423999,-0.980760,3.828758,0.705445
0.358000,0.144119,1.421998,-0.992535,3.836531,0.706031
0.359000,0.128348,1.419927,-1.004125,3.843979,0.706530
0.360000,0.112365,1.417789,-1.015529,3.851106,0.706942
0.361000,0.096168,1.415586,-1.026744,3.857916,0.707270
0.362000,0.079757,1.413320,-1.037769,3.864410,0.707515
0.363000,0.063130,1.410995,-1.048602,3.870592,0.707679
0.364000,0.046290,1.408612,-1.059240,3.876464,0.707763
0.365000,0.029236,1.406174,-1.069682,3.882029,0.707769
0.366000,0.011972,1.403683,-1.079925,3.887291,0.707699
0.367000,-0.005498,1.401141,-1.089968,3.892251,0.707555
0.368000,-0.023169,1.398552,-1.099809,3.896913,0.707336
0.369000,-0.041037,1.395916,-1.109446,3.901278,0.707046
0.370000,-0.059093,1.393236,-1.118877,3.905350,0.706685
0.371000,-0.077329,1.390515,-1.128101,3.909131,0.706255
0.372000,-0.095738,1.387754,-1.137116,3.912623,0.705757
0.373000,-0.114308,1.384955,-1.145920,3.915830,0.705192
0.374000,-0.133028,1.382121,-1.154511,3.918752,0.704562
0.375000,-0.151886,1.379253,-1.162888,3.921393,0.703868
0.376000,-0.170869,1.376353,-1.171049,3.923754,0.703111
0.377000,-0.189963,1.373423,-1.178993,3.925839,0.702293
0.378000,-0.209152,1.370465,-1.186718,3.927648,0.701414
0.379000,-0.228420,1.367480,-1.194223,3.929184,0.700475
0.380000,-0.247751,1.364472,-1.201506,3.930449,0.699478
0.381000,-0.267127,1.361440,-1.208565,3.931445,0.698423
0.382000,-0.286528,1.358387,-1.215400,3.932174,0.697312
0.383000,-0.305936,1.355315,-1.222008,3.932637,0.696145
0.384000,-0.325331,1.352224,-1.228388,3.932837,0.694924
0.385000,-0.344692,1.349118,-1.234539,3.932775,0.693650
0.386000,-0.363997,1.345996,-1.240460,3.932452,0.692323
0.387000,-0.383225,1.342862,-1.246148,3.931871,0.690943
0.388000,-0.402353,1.339715,-1.251603,3.931032,0.689513
0.389000,-0.421358,1.336558,-1.256822,3.929938,0.688033
0.390000,-0.440218,1.333392,-1.261806,3.928589,0.686503
0.391000,-0.458909,1.330218,-1.266551,3.926987,0.684924
0.392000,-0.477407,1.327038,-1.271058,3.925133,0.683297
0.393000,-0.495689,1.323852,-1.275324,3.923028,0.681623
0.394000,-0.513730,1.320663,-1.279348,3.920674,0.679902
0.395000,-0.531507,1.317471,-1.283129,3.918071,0.678135
0.396000,-0.548995,1.314278,-1.286666,3.915221,0.676322
0.397000,-0.566171,1.311084,-1.289956,3.912124,0.674465
0.398000,-0.583011,1.307891,-1.292999,3.908782,0.672563
0.399000,-0.599492,1.304700,-1.295793,3.905194,0.670616
0.400000,-0.615591,1.301512,-1.298337,3.901362,0.668627
0.401000,-0.631284,1.298329,-1.300630,3.897287,0.666594
0.402000,-0.646549,1.295150,-1.302670,3.892969,0.664519
0.403000,-0.661365,1.291977,-1.304456,3.888409,0.662401
0.404000,-0.675710,1.288810,-1.305986,3.883607,0.660242
0.405000,-0.689563,1.285652,-1.307259,3.878563,0.658041
0.406000,-0.702905,1.282502,-1.308274,3.873278,0.655799
0.407000,-0.715716,1.279362,-1.309028,3.867753,0.653517
0.408000,-0.727977,1.276233,-1.309522,3.861987,0.651193
0.409000,-0.739671,1.273114,-1.309753,3.855981,0.648830
0.410000,-0.750780,1.270007,-1.309721,3.849735,0.646426
0.411000,-0.761289,1.266913,-1.309422,3.843249,0.643982
0.412000,-0.771183,1.263833,-1.308857,3.836523,0.641499
0.413000,-0.780446,1.260766,-1.308024,3.829557,0.638977
0.414000,-0.789067,1.257714,-1.306921,3.822350,0.636414
0.415000,-0.797033,1.254678,-1.305548,3.814903,0.633813
0.416000,-0.804334,1.251657,-1.303901,3.807216,0.631173
0.417000,-0.810958,1.248654,-1.301981,3.799288,0.628493
0.418000,-0.816897,1.245667,-1.299785,3.791119,0.625775
0.419000,-0.822144,1.242698,-1.297312,3.782708,0.623018
0.420000,-0.826692,1.239747,-1.294561,3.774055,0.620222
0.421000,-0.830536,1.236815,-1.291531,3.765160,0.617387
0.422000,-0.833671,1.233902,-1.288219,3.756023,0.614513
0.423000,-0.836093,1.231009,-1.284624,3.746641,0.611600
0.424000,-0.837802,1.228135,-1.280745,3.737016,0.608648
0.425000,-0.838795,1.225282,-1.276581,3.727146,0.605657
0.426000,-0.839074,1.222450,-1.272129,3.717030,0.602628
0.427000,-0.838639,1.219640,-1.267389,3.706668,0.599559
0.428000,-0.837493,1.216850,-1.262359,3.696059,0.596450
0.429000,-0.835640,1.214083,-1.257037,3.685203,0.593303
0.430000,-0.833084,1.211337,-1.251423,3.674098,0.590116
0.431000,-0.829830,1.208614,-1.245514,3.662743,0.586889
0.432000,-0.825885,1.205914,-1.239309,3.651137,0.583622
0.433000,-0.821257,1.203237,-1.232806,3.639280,0.580315
0.434000,-0.815954,1.200583,-1.226005,3.627170,0.576968
0.435000,-0.809985,1.197952,-1.218903,3.614807,0.573581
0.436000,-0.803360,1.195344,-1.211500,3.602188,0.570153
0.437000,-0.796092,1.192761,-1.203793,3.589314,0.566684
0.438000,-0.788190,1.190201,-1.195782,3.576183,0.563174
0.439000,-0.779668,1.187665,-1.187464,3.562794,0.559622
0.440000,-0.770540,1.185153,-1.178840,3.549145,0.556029
0.441000,-0.760818,1.182665,-1.169906,3.535235,0.552394
0.442000,-0.750517,1.180201,-1.160662,3.521064,0.548717
0.443000,-0.739652,1.177762,-1.151106,3.506629,0.544997
0.444000,-0.728238,1.175347,-1.141237,3.491930,0.541234
0.445000,-0.716292,1.172956,-1.131054,3.476966,0.537429
0.446000,-0.703829,1.170589,-1.120555,3.461734,0.533580
0.447000,-0.690865,1.168247,-1.109739,3.446233,0.529687
0.448000,-0.677419,1.165929,-1.098605,3.430463,0.525750
0.449000,-0.663505,1.163635,-1.087151,3.414422,0.521769
0.450000,-0.649143,1.161366,-1.075377,3.398109,0.517743
0.451000,-0.634348,1.159120,-1.063280,3.381521,0.513672
0.452000,-0.619139,1.156899,-1.050861,3.364659,0.509555
0.453000,-0.603533,1.154701,-1.038117,3.347520,0.505393
0.454000,-0.587546,1.152527,-1.025048,3.330103,0.501185
0.455000,-0.571196,1.150377,-1.011652,3.312406,0.496930
0.456000,-0.554501,1.148250,-0.997929,3.294430,0.492628
0.457000,-0.537477,1.146147,-0.983877,3.276171,0.488279
0.458000,-0.520141,1.144067,-0.969496,3.257629,0.483882
0.459000,-0.502509,1.142009,-0.954784,3.238803,0.479438
0.460000,-0.484597,1.139975,-0.939741,3.219691,0.474945
0.461000,-0.466422,1.137963,-0.924367,3.200292,0.470404
0.462000,-0.447999,1.135973,-0.908659,3.180605,0.465813
0.463000,-0.429343,1.134005,-0.892618,3.160629,0.461173
0.464000,-0.410468,1.132059,-0.876243,3.140361,0.456484
0.465000,-0.391389,1.130135,-0.859533,3.119803,0.451744
0.466000,-0.372120,1.128232,-0.842488,3.098951,0.446954
0.467000,-0.352673,1.126350,-0.825107,3.077806,0.442113
0.468000,-0.333062,1.124488,-0.807390,3.056365,0.437221
0.469000,-0.313299,1.122647,-0.789336,3.034629,0.432277
0.470000,-0.293395,1.120825,-0.770946,3.012597,0.427282
0.471000,-0.273362,1.119024,-0.752219,2.990267,0.422235
0.472000,-0.253210,1.117241,-0.733155,2.967638,0.417135
0.473000,-0.232950,1.115478,-0.713754,2.944711,0.411982
0.474000,-0.212590,1.113733,-0.694017,2.921483,0.406777
0.475000,-0.192139,1.112007,-0.673942,2.897956,0.401519
0.476000,-0.171607,1.110298,-0.653532,2.874127,0.396207
0.477000,-0.151000,1.108606,-0.632785,2.849998,0.390841
0.478000,-0.130326,1.106932,-0.611703,2.825567,0.385421
0.479000,-0.109592,1.105274,-0.590285,2.800834,0.379948
0.480000,-0.088803,1.103632,-0.568534,2.775799,0.374419
0.481000,-0.067966,1.102006,-0.546449,2.750462,0.368837
0.482000,-0.047085,1.100396,-0.524031,2.724822,0.363199
0.483000,-0.026166,1.098800,-0.501282,2.698881,0.357507
0.484000,-0.005213,1.097218,-0.478202,2.672638,0.351760
0.485000,0.015771,1.095650,-0.454793,2.646094,0.345957
0.486000,0.036782,1.094096,-0.431057,2.619248,0.340100
0.487000,0.057817,1.092554,-0.406994,2.592102,0.334187
0.488000,0.078873,1.091025,-0.382607,2.564657,0.328219
0.489000,0.099947,1.089508,-0.357897,2.536912,0.322195
0.490000,0.121038,1.088002,-0.332867,2.508870,0.316117
0.491000,0.142143,1.086507,-0.307517,2.480531,0.309983
0.492000,0.163261,1.085022,-0.281852,2.451897,0.303794
0.493000,0.184389,1.083548,-0.255873,2.422968,0.297550
0.494000,0.205528,1.082082,-0.229583,2.393747,0.291251
0.495000,0.226674,1.080625,-0.202985,2.364236,0.284897
0.496000,0.247828,1.079177,-0.176081,2.334435,0.278488
0.497000,0.268987,1.077736,-0.148875,2.304347,0.272025
0.498000,0.290150,1.076303,-0.121370,2.273976,0.265508
0.499000,0.311316,1.074876,-0.093570,2.243321,0.258938
0.500000,0.332484,1.073455,-0.065478,2.212388,0.252313
0.501000,0.353652,1.072040,-0.037098,2.181178,0.245636
0.502000,0.374818,1.070630,-0.008435,2.149694,0.238906
0.503000,0.395980,1.069224,0.020507,2.117941,0.232124
0.504000,0.417137,1.067822,0.049723,2.085920,0.225290
0.505000,0.438286,1.066423,0.079210,2.053636,0.218405
0.506000,0.459424,1.065027,0.108961,2.021093,0.211469
0.507000,0.480548,1.063633,0.138972,1.988295,0.204483
0.508000,0.501655,1.062241,0.169236,1.955246,0.197448
0.509000,0.522742,1.060850,0.199749,1.921952,0.190365
0.510000,0.543805,1.059460,0.230504,1.888416,0.183233
0.511000,0.564838,1.058070,0.261495,1.854644,0.176055
0.512000,0.585837,1.056679,0.292715,1.820643,0.168831
0.513000,0.606798,1.055287,0.324158,1.786416,0.161562
0.514000,0.627713,1.053894,0.355816,1.751971,0.154249
0.515000,0.648577,1.052498,0.387682,1.717314,0.146894
0.516000,0.669382,1.051100,0.419748,1.682452,0.139496
0.517000,0.690123,1.049699,0.452006,1.647392,0.132058
0.518000,0.710790,1.048294,0.484448,1.612140,0.124581
0.519000,0.731376,1.046886,0.517065,1.576706,0.117067
0.520000,0.751872,1.045472,0.549848,1.541097,0.109516
0.521000,0.772268,1.044054,0.582786,1.505323,0.101930
0.522000,0.792555,1.042631,0.615870,1.469391,0.094312
0.523000,0.812721,1.041201,0.649088,1.433314,0.086662
0.524000,0.832757,1.039765,0.682429,1.397102,0.078984
0.525000,0.852651,1.038323,0.715880,1.360766,0.071279
0.526000,0.872391,1.036873,0.749426,1.324321,0.063549
0.527000,0.891964,1.035417,0.783050,1.287783,0.055799
0.528000,0.911358,1.033952,0.816730,1.251174,0.048032
0.529000,0.930560,1.032479,0.850436,1.214522,0.040254
0.530000,0.949556,1.030998,0.884119,1.177877,0.032474
0.531000,0.968331,1.029508,0.917686,1.141331,0.024711
0.532000,0.986872,1.028009,0.950891,1.105128,0.017014
0.533000,1.005163,1.026501,0.982757,1.070246,0.009576
0.534000,1.023189,1.024984,1.004713,1.045255,0.004110
0.535000,1.040936,1.023457,0.985469,1.061445,0.006901
0.536000,1.058387,1.021921,0.951140,1.092701,0.012702
0.537000,1.075526,1.020374,0.914981,1.125767,0.018860
0.538000,1.092337,1.018818,0.878360,1.159277,0.025104
0.539000,1.108805,1.017252,0.841577,1.192927,0.031374
0.540000,1.124912,1.015676,0.804744,1.226608,0.037647
0.541000,1.140643,1.014090,0.767913,1.260267,0.043912
0.542000,1.155980,1.012494,0.731117,1.293871,0.050164
0.543000,1.170908,1.010888,0.694378,1.327398,0.056399
0.544000,1.185409,1.009272,0.657715,1.360830,0.062612
0.545000,1.199468,1.007647,0.621140,1.394154,0.068800
0.546000,1.213069,1.006012,0.584669,1.427355,0.074962
0.547000,1.226195,1.004367,0.548311,1.460424,0.081095
0.548000,1.238830,1.002713,0.512078,1.493348,0.087197
0.549000,1.250960,1.001050,0.475980,1.526120,0.093266
0.550000,1.262568,0.999378,0.440026,1.558729,0.099300
0.551000,1.273640,0.997696,0.404225,1.591167,0.105298
0.552000,1.284161,0.996006,0.368586,1.623426,0.111259
0.553000,1.294118,0.994308,0.333117,1.655499,0.117179
