x, f(x), mean, lower, upper, acq
0.139000,-0.487032,-0.248957,-1.196132,0.698219,1.526545
0.140000,-0.487143,-0.258181,-1.179610,0.663249,1.466037
0.141000,-0.487267,-0.267394,-1.163093,0.628304,1.405651
0.142000,-0.487419,-0.276593,-1.146587,0.593401,1.345415
0.143000,-0.487611,-0.285773,-1.130100,0.558554,1.285359
0.144000,-0.487857,-0.294929,-1.113638,0.523781,1.225513
0.145000,-0.488168,-0.304056,-1.097211,0.489098,1.165909
0.146000,-0.488555,-0.313151,-1.080825,0.454523,1.106578
0.147000,-0.489029,-0.322208,-1.064488,0.420073,1.047554
0.148000,-0.489600,-0.331221,-1.048208,0.385766,0.988869
0.149000,-0.490276,-0.340185,-1.031994,0.351623,0.930559
0.150000,-0.491065,-0.349096,-1.015854,0.317663,0.872659
0.151000,-0.491974,-0.357946,-0.999797,0.283905,0.815205
0.152000,-0.493009,-0.366731,-0.983831,0.250370,0.758233
0.153000,-0.494173,-0.375443,-0.967965,0.217080,0.701783
0.154000,-0.495472,-0.384076,-0.952209,0.184056,0.645892
0.155000,-0.496906,-0.392624,-0.936570,0.151321,0.590600
0.156000,-0.498478,-0.401080,-0.921058,0.118898,0.535947
0.157000,-0.500187,-0.409437,-0.905683,0.086810,0.481975
0.158000,-0.502032,-0.417687,-0.890454,0.055081,0.428725
0.159000,-0.504010,-0.425822,-0.875380,0.023736,0.376240
0.160000,-0.506117,-0.433835,-0.860471,-0.007199,0.324563
0.161000,-0.508348,-0.441717,-0.845736,-0.037699,0.273740
0.162000,-0.510696,-0.449461,-0.831186,-0.067736,0.223814
0.163000,-0.513154,-0.457057,-0.816829,-0.097285,0.174833
0.164000,-0.515713,-0.464496,-0.802675,-0.126316,0.126842
0.165000,-0.518361,-0.471769,-0.788735,-0.154802,0.079889
0.166000,-0.521089,-0.478866,-0.775019,-0.182713,0.034022
0.167000,-0.523881,-0.485777,-0.761535,-0.210020,-0.010709
0.168000,-0.526725,-0.492493,-0.748294,-0.236691,-0.054256
0.169000,-0.529605,-0.499001,-0.735306,-0.262696,-0.096566
0.170000,-0.532505,-0.505292,-0.722581,-0.288003,-0.137588
0.171000,-0.535407,-0.511354,-0.710130,-0.312578,-0.177268
0.172000,-0.538293,-0.517175,-0.697963,-0.336386,-0.215553
0.173000,-0.541142,-0.522743,-0.686092,-0.359393,-0.252384
0.174000,-0.543935,-0.528045,-0.674530,-0.381561,-0.287704
0.175000,-0.546651,-0.533070,-0.663290,-0.402850,-0.321448
0.176000,-0.549266,-0.537802,-0.652388,-0.423217,-0.353548
0.177000,-0.551759,-0.542230,-0.641846,-0.442614,-0.383928
0.178000,-0.554105,-0.546338,-0.631692,-0.460984,-0.412496
0.179000,-0.556280,-0.550112,-0.621966,-0.478257,-0.439142
0.180000,-0.558260,-0.553537,-0.612735,-0.494338,-0.463710
0.181000,-0.560019,-0.556597,-0.604115,-0.509078,-0.485971
0.182000,-0.561533,-0.559276,-0.596326,-0.522226,-0.505535
0.183000,-0.562775,-0.561558,-0.589824,-0.533292,-0.521680
0.184000,-0.563719,-0.563426,-0.585532,-0.541321,-0.533052
0.185000,-0.564340,-0.564863,-0.584745,-0.544980,-0.537862
0.186000,-0.564611,-0.565849,-0.587636,-0.544063,-0.535961
0.187000,-0.564508,-0.566367,-0.592536,-0.540199,-0.529747
0.188000,-0.564003,-0.566398,-0.597815,-0.534982,-0.521585
0.189000,-0.563073,-0.565922,-0.602609,-0.529236,-0.512761
0.190000,-0.561691,-0.564921,-0.606514,-0.523328,-0.503895
0.191000,-0.559834,-0.563373,-0.609329,-0.517418,-0.495290
0.192000,-0.557478,-0.561261,-0.610946,-0.511577,-0.487101
0.193000,-0.554600,-0.558565,-0.611303,-0.505828,-0.479402
0.194000,-0.551177,-0.555266,-0.610364,-0.500169,-0.472220
0.195000,-0.547188,-0.551346,-0.608109,-0.494584,-0.465553
0.196000,-0.542612,-0.546788,-0.604529,-0.489046,-0.459374
0.197000,-0.537430,-0.541573,-0.599626,-0.483519,-0.453644
0.198000,-0.531624,-0.535685,-0.593407,-0.477963,-0.448305
0.199000,-0.525176,-0.529111,-0.585889,-0.472332,-0.443290
0.200000,-0.518070,-0.521834,-0.577094,-0.466574,-0.438519
0.201000,-0.510292,-0.513843,-0.567053,-0.460633,-0.433904
0.202000,-0.501829,-0.505126,-0.555802,-0.454449,-0.429342
0.203000,-0.492670,-0.495672,-0.543390,-0.447953,-0.424720
0.204000,-0.482803,-0.485473,-0.529873,-0.441072,-0.419911
0.205000,-0.472221,-0.474522,-0.515323,-0.433721,-0.414771
0.206000,-0.460916,-0.462814,-0.499828,-0.425801,-0.409131
0.207000,-0.448885,-0.450348,-0.483503,-0.417193,-0.402793
0.208000,-0.436122,-0.437121,-0.466497,-0.407744,-0.395508
0.209000,-0.422627,-0.423136,-0.449015,-0.397256,-0.386963
0.210000,-0.408400,-0.408397,-0.431327,-0.385466,-0.376762
0.211000,-0.393442,-0.392911,-0.413762,-0.372059,-0.364444
0.212000,-0.377759,-0.376687,-0.396623,-0.356752,-0.349607
0.213000,-0.361354,-0.359739,-0.380027,-0.339451,-0.332126
0.214000,-0.344237,-0.342082,-0.363813,-0.320350,-0.312277
0.215000,-0.326416,-0.323734,-0.347647,-0.299821,-0.290593
0.216000,-0.307903,-0.304717,-0.331189,-0.278246,-0.267628
0.217000,-0.288710,-0.285055,-0.314174,-0.255937,-0.243846
0.218000,-0.268854,-0.264774,-0.296419,-0.233130,-0.219602
0.219000,-0.248350,-0.243901,-0.277799,-0.210003,-0.195171
0.220000,-0.227218,-0.222467,-0.258234,-0.186699,-0.170769
0.221000,-0.205477,-0.200501,-0.237671,-0.163332,-0.146570
0.222000,-0.183150,-0.178038,-0.216077,-0.139998,-0.122716
0.223000,-0.160260,-0.155109,-0.193439,-0.116780,-0.099323
0.224000,-0.136833,-0.131750,-0.169757,-0.093744,-0.076481
0.225000,-0.112896,-0.107996,-0.145047,-0.070944,-0.054252
0.226000,-0.088476,-0.083881,-0.119345,-0.048416,-0.032665
0.227000,-0.063604,-0.059441,-0.092710,-0.026172,-0.011706
0.228000,-0.038310,-0.034712,-0.065244,-0.004180,0.008712
0.229000,-0.012627,-0.009728,-0.037119,0.017662,0.028787
0.230000,0.013411,0.015474,-0.008647,0.039595,0.048935
0.231000,0.039770,0.040862,0.019599,0.062126,0.069955
0.232000,0.066415,0.066403,0.046643,0.086163,0.093218
0.233000,0.093309,0.092064,0.071332,0.112796,0.120350
0.234000,0.120413,0.117814,0.093186,0.142442,0.152055
0.235000,0.147692,0.143625,0.112644,0.174606,0.187753
0.236000,0.175105,0.169469,0.130337,0.208601,0.226539
0.237000,0.202613,0.195319,0.146689,0.243949,0.267757
0.238000,0.230177,0.221151,0.161936,0.280365,0.311003
0.239000,0.257756,0.246940,0.176207,0.317672,0.356023
0.240000,0.285312,0.272663,0.189575,0.355752,0.402646
0.241000,0.312802,0.298301,0.202083,0.394518,0.450749
0.242000,0.340188,0.323831,0.213760,0.433902,0.500232
0.243000,0.367428,0.349235,0.224624,0.473847,0.551011
0.244000,0.394484,0.374496,0.234690,0.514301,0.603015
0.245000,0.421314,0.399595,0.243971,0.555219,0.656175
0.246000,0.447881,0.424517,0.252475,0.596558,0.710431
0.247000,0.474145,0.449246,0.260212,0.638279,0.765722
0.248000,0.500069,0.473768,0.267193,0.680343,0.821991
0.249000,0.525614,0.498070,0.273426,0.722714,0.879185
0.250000,0.550746,0.522139,0.278920,0.765359,0.937251
0.251000,0.575428,0.545964,0.283686,0.808242,0.996135
0.252000,0.599625,0.569533,0.287733,0.851333,1.055788
0.253000,0.623305,0.592836,0.291073,0.894600,1.116159
0.254000,0.646434,0.615864,0.293715,0.938014,1.177202
0.255000,0.668983,0.638608,0.295671,0.981546,1.238868
0.256000,0.690921,0.661060,0.296952,1.025167,1.301110
0.257000,0.712221,0.683211,0.297571,1.068851,1.363884
0.258000,0.732855,0.705056,0.297539,1.112573,1.427145
0.259000,0.752798,0.726587,0.296868,1.156306,1.490850
0.260000,0.772027,0.747800,0.295572,1.200027,1.554956
0.261000,0.790520,0.768688,0.293664,1.243713,1.619420
0.262000,0.808256,0.789248,0.291155,1.287341,1.684204
0.263000,0.825217,0.809474,0.288059,1.330889,1.749267
0.264000,0.841386,0.829363,0.284391,1.374336,1.814571
0.265000,0.856749,0.848913,0.280162,1.417663,1.880077
0.266000,0.871291,0.868119,0.275387,1.460850,1.945750
0.267000,0.885002,0.886979,0.270079,1.503879,2.011552
0.268000,0.897872,0.905492,0.264252,1.546731,2.077451
0.269000,0.909894,0.923655,0.257919,1.589390,2.143411
0.270000,0.921061,0.941467,0.251095,1.631839,2.209399
0.271000,0.931369,0.958928,0.243793,1.674063,2.275385
0.272000,0.940817,0.976037,0.236027,1.716047,2.341336
0.273000,0.949403,0.992793,0.227810,1.757775,2.407222
0.274000,0.957130,1.009196,0.219156,1.799236,2.473015
0.275000,0.964001,1.025246,0.210078,1.840414,2.538687
0.276000,0.970019,1.040945,0.200591,1.881299,2.604208
0.277000,0.975192,1.056292,0.190707,1.921877,2.669554
0.278000,0.979528,1.071289,0.180439,1.962138,2.734699
0.279000,0.983037,1.085937,0.169802,2.002071,2.799617
0.280000,0.985729,1.100237,0.158808,2.041666,2.864286
0.281000,0.987618,1.114191,0.147470,2.080913,2.928681
0.282000,0.988717,1.127802,0.135800,2.119803,2.992781
0.283000,0.989042,1.141070,0.123813,2.158327,3.056564
0.284000,0.988609,1.153999,0.111519,2.196478,3.120010
0.285000,0.987436,1.166590,0.098933,2.234247,3.183098
0.286000,0.985543,1.178846,0.086065,2.271628,3.245810
0.287000,0.982949,1.190770,0.072928,2.308613,3.308128
0.288000,0.979674,1.202365,0.059534,2.345196,3.370033
0.289000,0.975741,1.213634,0.045895,2.381372,3.431510
0.290000,0.971172,1.224579,0.032023,2.417135,3.492541
0.291000,0.965991,1.235204,0.017928,2.452480,3.553112
0.292000,0.960220,1.245512,0.003622,2.487402,3.613208
0.293000,0.953885,1.255507,-0.010883,2.521897,3.672814
0.294000,0.947010,1.265192,-0.025577,2.555961,3.731918
0.295000,0.939619,1.274571,-0.040449,2.589591,3.790506
0.296000,0.931739,1.283647,-0.055489,2.622782,3.848567
0.297000,0.923394,1.292424,-0.070686,2.655534,3.906089
0.298000,0.914609,1.300905,-0.086031,2.687841,3.963061
0.299000,0.905411,1.309096,-0.101512,2.719703,4.019472
0.300000,0.895824,1.316999,-0.117120,2.751118,4.075313
0.301000,0.885873,1.324618,-0.132846,2.782083,4.130575
0.302000,0.875584,1.331959,-0.148680,2.812597,4.185249
0.303000,0.864979,1.339023,-0.164613,2.842660,4.239326
0.304000,0.854084,1.345817,-0.180636,2.872269,4.292799
0.305000,0.842922,1.352343,-0.196740,2.901425,4.345661
0.306000,0.831514,1.358606,-0.212916,2.930127,4.397905
0.307000,0.819884,1.364610,-0.229156,2.958375,4.449525
0.308000,0.808053,1.370359,-0.245451,2.986169,4.500515
0.309000,0.796040,1.375858,-0.261793,3.013508,4.550869
0.310000,0.783867,1.381110,-0.278174,3.040394,4.600583
0.311000,0.771552,1.386120,-0.294587,3.066827,4.649652
0.312000,0.759112,1.390892,-0.311024,3.092807,4.698072
0.313000,0.746565,1.395430,-0.327477,3.118336,4.745839
0.314000,0.733926,1.399738,-0.343938,3.143415,4.792950
0.315000,0.721210,1.403822,-0.360402,3.168045,4.839401
0.316000,0.708431,1.407683,-0.376861,3.192228,4.885190
0.317000,0.695601,1.411328,-0.393307,3.215964,4.930315
0.318000,0.682732,1.414760,-0.409736,3.239256,4.974773
0.319000,0.669834,1.417984,-0.426139,3.262106,5.018563
0.320000,0.656916,1.421002,-0.442510,3.284515,5.061683
0.321000,0.643987,1.423821,-0.458845,3.306486,5.104132
0.322000,0.631052,1.426443,-0.475135,3.328021,5.145910
0.323000,0.618119,1.428872,-0.491376,3.349121,5.187015
0.324000,0.605190,1.431114,-0.507562,3.369790,5.227447
0.325000,0.592270,1.433171,-0.523688,3.390030,5.267205
0.326000,0.579361,1.435048,-0.539747,3.409843,5.306291
0.327000,0.566464,1.436749,-0.555735,3.429232,5.344705
0.328000,0.553579,1.438277,-0.571646,3.448200,5.382445
0.329000,0.540705,1.439637,-0.587475,3.466750,5.419515
0.330000,0.527841,1.440833,-0.603218,3.484884,5.455914
0.331000,0.514984,1.441868,-0.618870,3.502605,5.491643
